Soort misdrijf;2015;2016;2017;2018;2019;;2015;2016;2017;2018;2019;;2015;2016;2017;2018;2019;;2015;2016;2017;2018;2019
Diefstal/inbraak woning;58;47;43;46;42;;146;99;123;81;74;;191;130;152;119;102;;259;183;141;151;156
Diefstal/inbraak box/garage/schuur/tuinhuis;8;4;4;1;3;;14;7;6;4;6;;18;11;10;4;7;;15;14;14;23;10
Diefstal uit/vanaf motorvoertuigen;46;35;36;32;21;;116;82;106;76;45;;144;108;128;96;60;;118;75;75;73;88
Diefstal van motorvoertuigen;14;14;8;20;15;;46;36;30;27;32;;54;42;36;43;44;;59;36;46;49;31
Diefstal van brom-, snor-, fietsen;165;139;108;77;68;;112;87;72;42;50;;265;207;167;113;106;;401;391;268;239;190
Zakkenrollerij;23;17;19;20;30;;89;93;96;82;81;;107;104;112;96;101;;263;245;233;173;130
Diefstal af/uit/van overige voertuigen;19;15;14;19;10;;25;24;14;10;8;;43;35;25;27;16;;38;21;25;39;13
Zedenmisdrijf;27;22;13;9;16;;51;33;53;37;42;;77;54;65;44;56;;217;223;172;145;119
(poging) moord, doodslag;16;12;14;16;19;;48;59;46;48;44;;60;69;55;58;60;;198;196;144;145;141
Openlijk geweld (persoon);46;70;53;31;45;;108;122;83;73;75;;136;173;123;94;107;;112;119;90;80;82
Bedreiging;156;134;92;73;89;;375;363;281;222;238;;527;483;367;286;318;;1892;1604;1194;1151;1220
Mishandeling;213;202;172;147;144;;686;600;504;449;407;;883;789;668;584;543;;2422;2199;1882;1661;1607
Straatroof;116;111;84;102;136;;121;106;66;83;92;;213;201;135;160;198;;111;98;72;78;75
Overval;26;13;28;32;28;;30;28;30;28;30;;47;36;51;54;50;;31;22;28;30;20
Diefstallen (water);5;1;3;1;0;;9;4;2;3;2;;12;5;4;3;2;;14;16;15;14;7
Brand/ontploffing;3;14;6;2;12;;8;10;10;9;9;;10;22;16;11;20;;44;40;42;31;36
Overige vermogensdelicten;380;334;287;247;252;;660;526;473;368;357;;982;813;726;588;582;;1381;1173;974;861;817
Vernieling cq. zaakbeschadiging;116;121;80;77;77;;281;257;243;226;210;;383;369;318;298;278;;852;815;745;648;701
Huisvredebreuk;8;8;5;5;8;;35;25;39;20;25;;43;32;43;25;33;;167;216;172;160;150
Diefstal/inbraak bedrijven en instellingen;69;42;37;36;44;;138;109;93;83;95;;195;144;121;111;128;;271;231;221;207;232
Winkeldiefstal;486;447;434;404;515;;637;679;707;714;800;;1102;1106;1104;1076;1286;;2928;3075;3159;3016;3178
Drugshandel;46;50;54;39;61;;609;533;480;447;415;;649;571;521;482;468;;1337;1124;1073;992;947
Onder invloed (weg);17;27;11;9;23;;465;409;422;371;398;;482;435;433;380;421;;1310;1244;1193;1169;1188
Horizontale fraude;46;48;46;53;51;;146;131;145;135;127;;186;171;183;174;175;;402;366;301;288;302
Verticale fraude;0;2;1;1;0;;2;3;4;1;4;;2;5;5;2;4;;15;18;16;12;13
Overige fraude;53;19;19;19;15;;108;67;32;27;21;;153;86;46;45;34;;287;82;52;35;29
Overig;289;313;303;239;302;;1225;1148;1177;972;1106;;1496;1427;1463;1193;1389;;3672;3699;3795;3214;3182
Totaal;2451;2261;1974;1757;2026;;6290;5640;5337;4638;4793;;8460;7628;7077;6166;6588;;18816;17525;16142;14684;14664