,Name,Team,Pos,Height,Weight,BMI,Birth_Place,Birthdate,Age,College,Experience,Games Played,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3,min_REB,min_AST,min_STL,min_PTS,min_BLK
0,Aerial Powers,DAL,F,183,71.0,21.20099137,US,"January 17, 1994",23,Michigan State,2,8,173,30,85,35.3,12,32,37.5,21,26,80.8,6,22,28,12,3,6,12,93,0,0,0.16184971098265896,0.06936416184971098,0.017341040462427744,0.5375722543352601,0.03468208092485549
1,Alana Beard,LA,G/F,185,73.0,21.32943755,US,"May 14, 1982",35,Duke,12,30,947,90,177,50.8,5,18,27.8,32,41,78.0,19,82,101,72,63,13,40,217,0,0,0.10665258711721225,0.07602956705385427,0.0665258711721225,0.22914466737064415,0.013727560718057022
2,Alex Bentley,CON,G,170,69.0,23.87543253,US,"October 27, 1990",26,Penn State,4,26,617,82,218,37.6,19,64,29.7,35,42,83.3,4,36,40,78,22,3,24,218,0,0,0.06482982171799027,0.12641815235008103,0.03565640194489465,0.353322528363047,0.004862236628849271
3,Alex Montgomery,SAN,G/F,185,84.0,24.54346238,US,"December 11, 1988",28,Georgia Tech,6,31,721,75,195,38.5,21,68,30.9,17,21,81.0,35,134,169,65,20,10,38,188,2,0,0.23439667128987518,0.09015256588072122,0.027739251040221916,0.260748959778086,0.013869625520110958
4,Alexis Jones,MIN,G,175,78.0,25.46938776,US,"August 5, 1994",23,Baylor,R,24,137,16,50,32.0,7,20,35.0,11,12,91.7,3,9,12,12,7,0,14,50,0,0,0.08759124087591241,0.08759124087591241,0.051094890510948905,0.36496350364963503,0.0
5,Alexis Peterson,SEA,G,170,63.0,21.79930796,US,"June 20, 1995",22,Syracuse,R,14,90,9,34,26.5,2,9,22.2,6,6,100.0,3,13,16,11,5,0,11,26,0,0,0.17777777777777778,0.12222222222222222,0.05555555555555555,0.28888888888888886,0.0
6,Alexis Prince,PHO,G,188,81.0,22.91760978,US,"February 5, 1994",23,Baylor,R,16,112,9,34,26.5,4,15,26.7,2,2,100.0,1,14,15,5,4,3,3,24,0,0,0.13392857142857142,0.044642857142857144,0.03571428571428571,0.21428571428571427,0.026785714285714284
7,Allie Quigley,CHI,G,178,64.0,20.19946976,US,"June 20, 1986",31,DePaul,8,26,847,166,319,52.0,70,150,46.7,40,46,87.0,9,83,92,95,20,13,59,442,0,0,0.10861865407319952,0.11216056670602124,0.023612750885478158,0.5218417945690673,0.015348288075560802
8,Allisha Gray,DAL,G,185,76.0,22.20598977,US,"October 20, 1992",24,South Carolina,2,30,834,131,346,37.9,29,103,28.2,104,129,80.6,52,75,127,40,47,19,37,395,0,0,0.15227817745803357,0.047961630695443645,0.05635491606714628,0.473621103117506,0.022781774580335732
9,Allison Hightower,WAS,G,178,77.0,24.30248706,US,"June 4, 1988",29,LSU,5,7,103,14,38,36.8,2,11,18.2,6,6,100.0,3,7,10,10,5,0,2,36,0,0,0.0970873786407767,0.0970873786407767,0.04854368932038835,0.34951456310679613,0.0
10,Alysha Clark,SEA,F,180,76.0,23.45679012,US,"July 7, 1987",30,Middle Tennessee,6,30,843,93,183,50.8,20,62,32.3,38,51,74.5,29,97,126,50,22,4,32,244,0,0,0.1494661921708185,0.05931198102016608,0.02609727164887307,0.28944246737841045,0.004744958481613286
11,Alyssa Thomas,CON,F,188,84.0,23.76641014,US,"December 4, 1992",24,Maryland,3,28,833,154,303,50.8,0,3,0.0,91,158,57.6,34,158,192,136,48,11,87,399,4,0,0.2304921968787515,0.16326530612244897,0.057623049219687875,0.4789915966386555,0.013205282112845138
12,Amanda Zahui B.,NY,C,196,113.0,29.41482716,SE,"August 9, 1993",24,Minnesota,3,25,133,20,53,37.7,2,8,25.0,9,12,75.0,5,18,23,7,4,5,12,51,0,0,0.17293233082706766,0.05263157894736842,0.03007518796992481,0.38345864661654133,0.03759398496240601
13,Amber Harris,CHI,F,196,88.0,22.90712203,US,"January 16, 1988",29,Xavier,3,22,146,18,44,40.9,0,10,0.0,5,8,62.5,12,28,40,5,3,9,6,41,0,0,0.273972602739726,0.03424657534246575,0.02054794520547945,0.2808219178082192,0.06164383561643835
14,Aneika Henry,ATL,F/C,193,87.0,23.35633171,JM,"February 13, 1986",31,Florida,6,4,22,4,4,100.0,0,0,0.0,0,0,0.0,0,4,4,1,2,0,3,8,0,0,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.36363636363636365,0.0
15,Angel Robinson,PHO,F/C,198,88.0,22.44668911,US,"August 30, 1995",21,Arizona State,1,15,237,25,44,56.8,1,1,100.0,7,7,100.0,16,42,58,8,1,11,16,58,0,0,0.24472573839662448,0.03375527426160337,0.004219409282700422,0.24472573839662448,0.046413502109704644
16,Asia Taylor,WAS,F,185,76.0,22.20598977,US,"August 22, 1991",26,Louisville,3,20,128,10,31,32.3,0,0,0.0,11,18,61.1,16,21,37,9,5,2,10,31,0,0,0.2890625,0.0703125,0.0390625,0.2421875,0.015625
17,Bashaara Graves,CHI,F,188,91.0,25.74694432,US,"March 17, 1994",23,Tennessee,1,5,59,8,14,57.1,0,0,0.0,3,4,75.0,4,13,17,3,0,1,3,19,0,0,0.288135593220339,0.05084745762711865,0.0,0.3220338983050847,0.01694915254237288
18,Breanna Lewis,DAL,C,196,93.0,24.20866306,US,"June 22, 1994",23,Kansas State,R,12,50,2,12,16.7,0,0,0.0,3,4,75.0,2,7,9,2,0,0,7,7,0,0,0.18,0.04,0.0,0.14,0.0
19,Breanna Stewart,SEA,F/C,193,77.0,20.67169588,US,"August 27, 1994",22,Connecticut,2,29,952,201,417,48.2,46,123,37.4,136,171,79.5,43,206,249,78,29,47,68,584,8,0,0.2615546218487395,0.0819327731092437,0.03046218487394958,0.6134453781512605,0.04936974789915966
20,Bria Hartley,NY,G,173,66.0,22.05219018,US,"September 30, 1992",24,Connecticut,4,29,598,80,192,41.7,32,93,34.4,25,33,75.8,7,50,57,58,15,5,44,217,0,0,0.09531772575250837,0.09698996655518395,0.02508361204013378,0.362876254180602,0.008361204013377926
21,Bria Holmes,ATL,G,185,77.0,22.49817385,US,"April 19, 1994",23,West Virginia,R,28,655,85,231,36.8,9,50,18.0,56,84,66.7,29,56,85,52,23,7,31,235,0,0,0.1297709923664122,0.07938931297709924,0.035114503816793895,0.35877862595419846,0.010687022900763359
22,Briann January,IND,G,173,65.0,21.71806609,US,"November 1, 1987",29,Arizona State,9,25,657,81,205,39.5,18,57,31.6,58,71,81.7,12,25,37,98,23,4,53,238,0,0,0.0563165905631659,0.1491628614916286,0.0350076103500761,0.3622526636225266,0.0060882800608828
23,Brionna Jones,CON,F,191,104.0,28.50799046,US,"December 18, 1995",21,Maryland,R,19,112,14,26,53.8,0,0,0.0,16,19,84.2,11,14,25,2,7,1,7,44,0,0,0.22321428571428573,0.017857142857142856,0.0625,0.39285714285714285,0.008928571428571428
24,Brittany Boyd,NY,G,175,71.0,23.18367347,US,"November 6, 1993",23,UC Berkeley,3,2,32,9,15,60.0,0,1,0.0,8,11,72.7,3,5,8,5,3,0,2,26,0,0,0.25,0.15625,0.09375,0.8125,0.0
25,Brittney Griner,PHO,C,206,93.0,21.91535489,US,"October 18, 1990",26,Baylor,5,22,682,167,293,57.0,0,0,0.0,127,154,82.5,43,129,172,39,13,54,52,461,6,0,0.25219941348973607,0.05718475073313783,0.01906158357771261,0.6759530791788856,0.07917888563049853
26,Brittney Sykes,ATL,G,175,66.0,21.55102041,US,"July 2, 1994",23,Rutgers,10,30,734,146,362,40.3,29,87,33.3,76,102,74.5,25,94,119,59,18,17,49,397,1,0,0.16212534059945505,0.08038147138964577,0.02452316076294278,0.5408719346049047,0.02316076294277929
27,Camille Little,PHO,F,188,82.0,23.20054323,US,"January 18, 1985",32,North Carolina,11,30,759,93,219,42.5,9,52,17.3,33,52,63.5,42,71,113,42,28,13,50,228,0,0,0.14888010540184454,0.05533596837944664,0.03689064558629776,0.30039525691699603,0.017127799736495388
28,Candace Parker,LA,F/C,193,79.0,21.20862305,US,"April 19, 1986",31,Tennessee,10,29,889,183,383,47.8,40,114,35.1,88,115,76.5,37,205,242,127,43,53,80,494,10,1,0.2722159730033746,0.14285714285714285,0.048368953880764905,0.5556805399325084,0.05961754780652419
29,Candice Dupree,IND,F,188,81.0,22.91760978,US,"February 25, 1984",33,Temple,12,29,911,189,370,51.1,0,2,0.0,57,65,87.7,31,124,155,47,28,12,42,435,2,0,0.17014270032930845,0.05159165751920966,0.030735455543358946,0.4774972557628979,0.013172338090010977
30,Cappie Pondexter,CHI,G,175,73.0,23.83673469,US,"July 1, 1983",34,Rutgers,11,24,676,94,258,36.4,8,32,25.0,54,67,80.6,10,59,69,104,17,5,56,250,2,0,0.10207100591715976,0.15384615384615385,0.02514792899408284,0.3698224852071006,0.0073964497041420114
31,Carolyn Swords,SEA,C,198,95.0,24.2322212,US,"July 19, 1989",28,Boston College,6,26,218,19,39,48.7,0,0,0.0,16,20,80.0,10,29,39,9,5,4,22,54,0,0,0.17889908256880735,0.04128440366972477,0.022935779816513763,0.24770642201834864,0.01834862385321101
32,Cayla George,PHO,C,193,87.0,23.35633171,AU,"April 20, 1987",30,Georgia,1,28,365,40,105,38.1,13,45,28.9,7,12,58.3,10,71,81,15,9,11,13,100,1,0,0.2219178082191781,0.0410958904109589,0.024657534246575342,0.273972602739726,0.030136986301369864
33,Chelsea Gray,LA,G,180,77.0,23.7654321,US,"August 10, 1992",25,Duke,3,30,996,165,326,50.6,48,100,48.0,78,94,83.0,19,80,99,132,29,7,61,456,1,0,0.09939759036144578,0.13253012048192772,0.029116465863453816,0.4578313253012048,0.007028112449799197
34,Cheyenne Parker,CHI,F,193,86.0,23.08786813,US,"August 22, 1992",25,Middle Tennessee,2,23,286,32,69,46.4,0,3,0.0,23,36,63.9,31,47,78,13,8,15,21,87,0,0,0.2727272727272727,0.045454545454545456,0.027972027972027972,0.3041958041958042,0.05244755244755245
35,Clarissa dos Santos,SAN,C,185,89.0,26.00438276,BR,"October 3, 1988",28,Brazil,4,7,52,8,14,57.1,1,1,100.0,0,0,0.0,3,7,10,7,1,1,5,17,0,0,0.19230769230769232,0.1346153846153846,0.019230769230769232,0.3269230769230769,0.019230769230769232
36,Courtney Paris,DAL,C,193,113.0,30.33638487,US,"September 21, 1987",29,Oklahoma,7,16,217,32,57,56.1,0,0,0.0,6,12,50.0,28,34,62,5,6,8,18,70,0,0,0.2857142857142857,0.02304147465437788,0.027649769585253458,0.3225806451612903,0.03686635944700461
37,Courtney Vandersloot,CHI,G,173,66.0,22.05219018,US,"August 2, 1989",28,Gonzaga,6,22,673,104,199,52.3,23,60,38.3,24,29,82.8,13,75,88,175,22,5,64,255,10,0,0.13075780089153047,0.2600297176820208,0.03268945022288262,0.3789004457652303,0.007429420505200594
38,Courtney Williams,CON,G,173,62.0,20.71569381,US,"November 5, 1994",22,South Florida,1,29,755,168,338,49.7,8,30,26.7,31,36,86.1,38,84,122,60,15,6,39,375,1,0,0.16158940397350993,0.07947019867549669,0.019867549668874173,0.4966887417218543,0.007947019867549669
39,Crystal Langhorne,SEA,F/C,188,84.0,23.76641014,US,"October 27, 1986",30,Maryland,10,30,848,160,240,66.7,1,2,50.0,49,68,72.1,35,140,175,46,16,11,50,370,2,0,0.20636792452830188,0.054245283018867926,0.018867924528301886,0.4363207547169811,0.012971698113207548
40,Damiris Dantas,ATL,C,191,89.0,24.39626107,BR,"November 17, 1992",24,Brazil,4,30,569,98,243,40.3,25,91,27.5,33,43,76.7,29,84,113,19,17,18,26,254,0,0,0.19859402460456943,0.033391915641476276,0.029876977152899824,0.44639718804920914,0.03163444639718805
41,Danielle Adams,CON,F/C,185,108.0,31.5558802,US,"February 19, 1989",28,Texas A&M,5,18,81,16,43,37.2,12,30,40.0,5,5,100.0,6,4,10,4,4,4,7,49,0,0,0.12345679012345678,0.04938271604938271,0.04938271604938271,0.6049382716049383,0.04938271604938271
42,Danielle Robinson,PHO,G,175,57.0,18.6122449,US,"October 5, 1989",27,Oklahoma,7,28,680,79,178,44.4,0,5,0.0,51,61,83.6,13,73,86,106,33,4,58,209,0,0,0.1264705882352941,0.15588235294117647,0.04852941176470588,0.3073529411764706,0.0058823529411764705
43,Dearica Hamby,SAN,F,191,86.0,23.57391519,US,"June 11, 1993",24,Wake Forest,2,31,650,96,207,46.4,3,8,37.5,58,95,61.1,48,91,139,32,29,8,43,253,1,0,0.21384615384615385,0.04923076923076923,0.04461538461538461,0.3892307692307692,0.012307692307692308
44,Devereaux Peters,IND,F,188,79.0,22.35174287,US,"August 10, 1989",28,Notre Dame,6,28,796,154,380,40.5,88,225,39.1,118,130,90.8,8,69,77,76,16,9,56,514,0,0,0.09673366834170855,0.09547738693467336,0.020100502512562814,0.6457286432160804,0.011306532663316583
45,Diana Taurasi,PHO,G,183,74.0,22.09680791,US,"November 6, 1982",34,Connecticut,13,20,591,121,255,47.5,22,66,33.3,112,118,94.9,31,98,129,32,20,31,28,376,3,0,0.2182741116751269,0.05414551607445008,0.0338409475465313,0.6362098138747885,0.05245346869712352
46,Elena Delle Donne,WAS,G/F,196,85.0,22.12619742,US,"May 9, 1989",28,Delaware,5,30,939,133,272,48.9,0,1,0.0,51,78,65.4,99,116,215,43,32,64,36,317,4,0,0.22896698615548455,0.04579339723109691,0.03407880724174654,0.33759318423855167,0.06815761448349308
47,Elizabeth Williams,ATL,F/C,191,87.0,23.84803048,US,"June 23, 1993",24,Duke,3,30,377,48,96,50.0,0,1,0.0,32,55,58.2,35,61,96,5,5,4,21,128,0,0,0.2546419098143236,0.013262599469496022,0.013262599469496022,0.3395225464190981,0.010610079575596816
48,Emma Cannon,PHO,F,188,86.0,24.33227705,US,"January 6, 1989",28,Central Florida,R,18,508,105,220,47.7,11,33,33.3,31,34,91.2,33,72,105,52,21,27,30,252,1,0,0.20669291338582677,0.10236220472440945,0.04133858267716536,0.49606299212598426,0.0531496062992126
49,Emma Meesseman,WAS,C,193,83.0,22.28247738,BE,"May 13, 1993",24,Belgium,5,23,617,89,233,38.2,25,79,31.6,56,65,86.2,23,58,81,70,34,5,30,259,0,0,0.1312803889789303,0.11345218800648298,0.055105348460291734,0.419773095623987,0.008103727714748784
50,Epiphanny Prince,NY,G,175,81.0,26.44897959,US,"November 1, 1988",28,Rutgers,8,26,282,36,86,41.9,1,3,33.3,15,22,68.2,17,44,61,5,4,8,17,88,0,0,0.21631205673758866,0.01773049645390071,0.014184397163120567,0.3120567375886525,0.028368794326241134
51,Erica Wheeler,IND,G,170,65.0,22.49134948,US,"February 5, 1991",26,Rutgers,3,30,767,130,321,40.5,42,129,32.6,34,40,85.0,11,57,68,117,38,1,68,336,0,0,0.08865710560625815,0.15254237288135594,0.04954367666232073,0.4380704041720991,0.001303780964797914
52,Érika de Souza,SAN,C,196,86.0,22.38650562,BR,"September 3, 1982",34,Brazil,13,30,579,65,112,58.0,0,0,0.0,29,32,90.6,58,74,132,35,18,7,37,159,0,0,0.22797927461139897,0.06044905008635579,0.031088082901554404,0.27461139896373055,0.012089810017271158
53,Erlana Larkins,IND,F,185,93.0,27.17311907,US,"February 4, 1986",31,North Carolina,9,20,386,36,92,39.1,9,35,25.7,21,24,87.5,9,26,35,24,11,8,13,102,0,0,0.09067357512953368,0.06217616580310881,0.02849740932642487,0.26424870466321243,0.02072538860103627
54,Essence Carson,LA,G/F,183,74.0,22.09680791,US,"July 28, 1986",31,Rutgers,10,15,61,4,16,25.0,0,0,0.0,5,6,83.3,7,2,9,0,1,3,5,13,0,0,0.14754098360655737,0.0,0.01639344262295082,0.21311475409836064,0.04918032786885246
55,Evelyn Akhator,DAL,F,191,82.0,22.47745402,NG,"March 2, 1995",22,Kentucky,R,30,926,165,365,45.2,20,60,33.3,92,117,78.6,73,199,272,50,37,13,67,442,13,0,0.2937365010799136,0.05399568034557235,0.03995680345572354,0.4773218142548596,0.014038876889848811
56,Glory Johnson,DAL,F,191,77.0,21.10687755,US,"July 27, 1990",27,Tennessee,4,4,42,3,9,33.3,3,6,50.0,0,0,0.0,0,3,3,1,0,0,4,9,0,0,0.07142857142857142,0.023809523809523808,0.0,0.21428571428571427,0.0
57,Imani Boyette,ATL,C,201,88.0,21.78163907,US,"November 10, 1992",24,Texas,1,29,410,56,119,47.1,1,3,33.3,14,20,70.0,43,75,118,14,9,23,22,127,1,0,0.28780487804878047,0.03414634146341464,0.02195121951219512,0.3097560975609756,0.05609756097560976
58,Isabelle Harrison,SAN,C,191,83.0,22.75156931,US,"September 27, 1993",23,Kentucky,3,31,832,154,300,51.3,1,2,50.0,55,85,64.7,66,134,200,46,26,24,63,364,5,0,0.2403846153846154,0.055288461538461536,0.03125,0.4375,0.028846153846153848
59,Ivory Latta,WAS,G,168,63.0,22.32142857,US,"September 25, 1984",32,North Carolina,12,29,499,79,218,36.2,40,114,35.1,47,55,85.5,7,20,27,49,12,1,22,245,0,0,0.05410821643286573,0.09819639278557114,0.02404809619238477,0.4909819639278557,0.002004008016032064
60,Jantel Lavender,LA,C,193,84.0,22.55094096,US,"December 11, 1988",28,Ohio State,7,28,481,89,184,48.4,4,13,30.8,18,22,81.8,31,56,87,28,8,5,35,200,0,0,0.18087318087318088,0.058212058212058215,0.016632016632016633,0.4158004158004158,0.010395010395010396
61,Jasmine Thomas,CON,G,175,66.0,21.55102041,US,"September 30, 1989",27,Duke,6,27,762,151,341,44.3,50,116,43.1,39,55,70.9,9,55,64,118,45,4,58,391,1,0,0.08398950131233596,0.15485564304461943,0.05905511811023622,0.5131233595800525,0.005249343832020997
62,Jazmon Gwathmey,IND,G,188,65.0,18.39067451,PR,"January 24, 1993",24,James Madison,2,24,371,50,140,35.7,12,49,24.5,30,39,76.9,15,34,49,17,13,19,32,142,0,0,0.1320754716981132,0.04582210242587601,0.03504043126684636,0.38274932614555257,0.05121293800539083
63,Jeanette Pohlen,IND,G,183,78.0,23.29122996,US,"February 5, 1989",28,Stanford,6,25,278,20,52,38.5,13,29,44.8,17,20,85.0,3,19,22,13,5,0,15,70,0,0,0.07913669064748201,0.046762589928057555,0.017985611510791366,0.2517985611510791,0.0
64,Jennifer Hamson,IND,C,201,95.0,23.51426945,US,"January 23, 1992",25,Brigham Young,1,10,50,2,12,16.7,0,3,0.0,8,10,80.0,5,6,11,6,2,2,3,12,0,0,0.22,0.12,0.04,0.24,0.04
65,Jessica Breland,CHI,F,191,77.0,21.10687755,US,"February 23, 1988",29,North Carolina,5,10,78,9,16,56.3,0,0,0.0,4,5,80.0,5,13,18,2,1,9,3,22,0,0,0.23076923076923078,0.02564102564102564,0.01282051282051282,0.28205128205128205,0.11538461538461539
66,Jewell Loyd,SEA,G,178,67.0,21.14631991,US,"May 10, 1993",24,Notre Dame,3,29,715,116,245,47.3,8,21,38.1,28,37,75.7,50,139,189,46,18,50,57,268,4,0,0.26433566433566436,0.06433566433566433,0.025174825174825177,0.3748251748251748,0.06993006993006994
67,Jia Perkins,MIN,G,173,75.0,25.05930703,US,"February 23, 1982",35,Texas Tech,14,30,932,178,420,42.4,47,123,38.2,114,134,85.1,24,72,96,103,41,11,83,517,0,0,0.10300429184549356,0.11051502145922747,0.043991416309012876,0.5547210300429185,0.011802575107296138
68,Jonquel Jones,CON,F/C,198,86.0,21.93653709,BS,"May 1, 1994",23,George Washington,1,29,463,47,124,37.9,11,32,34.4,11,15,73.3,11,46,57,39,30,1,24,116,0,0,0.12311015118790497,0.08423326133909287,0.06479481641468683,0.2505399568034557,0.0021598272138228943
69,Jordan Hooper,CHI,F,188,84.0,23.76641014,US,"February 20, 1992",25,Nebraska,3,29,833,164,299,54.8,22,49,44.9,117,142,82.4,108,226,334,40,29,46,46,467,17,0,0.4009603841536615,0.04801920768307323,0.03481392557022809,0.56062424969988,0.055222088835534214
70,Kaela Davis,DAL,G,188,77.0,21.78587596,US,"March 15, 1995",22,South Carolina,R,23,208,27,75,36.0,20,55,36.4,3,4,75.0,2,20,22,5,7,1,6,77,0,0,0.10576923076923077,0.02403846153846154,0.03365384615384615,0.3701923076923077,0.004807692307692308
