,Name,Team,Pos,Height,Weight,BMI,Birth_Place,Birthdate,Age,College,Experience,Games Played,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3,min_REB,min_AST,min_STL,min_PTS,min_BLK
71,Kahleah Copper,CHI,G/F,185,70.0,20.45288532,US,"August 28, 1994",22,Rutgers,1,29,475,62,163,38.0,12,32,37.5,49,65,75.4,10,33,43,32,13,3,48,185,0,0,0.09052631578947369,0.06736842105263158,0.02736842105263158,0.3894736842105263,0.00631578947368421
72,Kaleena Mosqueda-Lewis,SEA,F,180,82.0,25.30864198,US,"March 11, 1993",24,Connecticut,3,29,369,60,140,42.9,5,23,21.7,36,45,80.0,11,43,54,11,9,2,22,161,0,0,0.14634146341463414,0.02981029810298103,0.024390243902439025,0.4363143631436314,0.005420054200542005
73,Karima Christmas-Kelly,DAL,G/F,183,82.0,24.48565201,US,"November 9, 1989",27,Duke,6,14,142,23,43,53.5,9,21,42.9,10,10,100.0,4,10,14,6,1,1,13,65,0,0,0.09859154929577464,0.04225352112676056,0.007042253521126761,0.45774647887323944,0.007042253521126761
74,Kayla Alexander,SAN,C,193,88.0,23.6247953,CA,"May 1, 1991",26,Arizona State,4,30,889,91,239,38.1,25,83,30.1,111,129,86.0,45,75,120,65,39,5,50,318,0,0,0.13498312710911137,0.07311586051743532,0.043869516310461196,0.3577052868391451,0.00562429696287964
75,Kayla McBride,SAN,G/F,180,79.0,24.38271605,US,"June 25, 1992",25,Notre Dame,3,31,433,78,141,55.3,0,0,0.0,15,16,93.8,40,47,87,17,13,15,30,171,0,0,0.20092378752886836,0.03926096997690531,0.03002309468822171,0.394919168591224,0.03464203233256351
76,Kayla Pedersen,CON,F,193,86.0,23.08786813,US,"April 14, 1989",28,Stanford,5,27,882,128,337,38.0,47,147,32.0,108,118,91.5,12,93,105,59,32,5,54,411,0,0,0.11904761904761904,0.06689342403628118,0.036281179138321996,0.46598639455782315,0.005668934240362812
77,Kayla Thornton,DAL,F,185,86.0,25.12783053,US,"October 20, 1992",24,Texas–El Paso,2,21,224,11,30,36.7,0,1,0.0,10,14,71.4,19,26,45,13,6,2,9,32,0,0,0.20089285714285715,0.05803571428571429,0.026785714285714284,0.14285714285714285,0.008928571428571428
78,Keisha Hampton,CHI,F,185,78.0,22.79035793,US,"February 22, 1990",27,DePaul,1,30,504,64,157,40.8,14,52,26.9,65,81,80.2,36,59,95,24,20,7,21,207,0,0,0.1884920634920635,0.047619047619047616,0.03968253968253968,0.4107142857142857,0.013888888888888888
79,Kelsey Plum,SAN,G,173,66.0,22.05219018,US,"August 24, 1994",23,Washington,R,28,610,73,210,34.8,29,78,37.2,50,58,86.2,11,42,53,91,13,4,72,225,0,0,0.08688524590163935,0.14918032786885246,0.021311475409836064,0.36885245901639346,0.006557377049180328
80,Kia Vaughn,NY,C,193,90.0,24.16172246,US,"January 24, 1987",30,Rutgers,9,23,455,62,116,53.4,0,0,0.0,10,19,52.6,39,71,110,16,8,9,21,134,1,0,0.24175824175824176,0.035164835164835165,0.017582417582417582,0.2945054945054945,0.01978021978021978
81,Kiah Stokes,NY,C,191,87.0,23.84803048,US,"March 30, 1993",24,Connecticut,3,29,576,50,98,51.0,0,1,0.0,41,52,78.8,63,122,185,21,8,32,33,141,3,0,0.3211805555555556,0.036458333333333336,0.013888888888888888,0.24479166666666666,0.05555555555555555
82,Kristi Toliver,WAS,G,170,59.0,20.41522491,US,"January 27, 1987",30,Maryland,9,29,845,119,284,41.9,67,194,34.5,44,49,89.8,9,50,59,91,20,8,48,349,0,0,0.06982248520710059,0.1076923076923077,0.023668639053254437,0.41301775147928993,0.009467455621301775
83,Krystal Thomas,WAS,C,196,88.0,22.90712203,US,"October 6, 1989",27,Duke,6,29,737,81,149,54.4,0,0,0.0,37,61,60.7,97,172,269,30,15,31,45,199,2,0,0.3649932157394844,0.0407055630936228,0.0203527815468114,0.2700135685210312,0.04206241519674356
84,Lanay Montgomery,SEA,C,196,96.0,24.98958767,US,"September 17, 1993",23,West Virginia,R,7,28,3,7,42.9,0,0,0.0,0,0,0.0,0,5,5,0,1,4,2,6,0,0,0.17857142857142858,0.0,0.03571428571428571,0.21428571428571427,0.14285714285714285
85,Layshia Clarendon,ATL,G,175,64.0,20.89795918,US,"February 5, 1991",26,UC Berkeley,5,30,900,124,320,38.8,8,53,15.1,73,81,90.1,27,88,115,206,29,1,82,329,3,0,0.12777777777777777,0.2288888888888889,0.03222222222222222,0.3655555555555556,0.0011111111111111111
86,Leilani Mitchell,PHO,G,165,58.0,21.30394858,US,"June 15, 1985",32,Utah,9,30,623,70,182,38.5,31,92,33.7,62,75,82.7,12,57,69,108,26,9,50,233,0,0,0.11075441412520064,0.17335473515248795,0.04173354735152488,0.3739967897271268,0.014446227929373997
87,Lindsay Allen,NY,G,173,65.0,21.71806609,US,"March 20, 1995",22,Notre Dame,R,23,314,21,50,42.0,0,11,0.0,6,9,66.7,8,28,36,47,13,1,18,48,0,0,0.11464968152866242,0.14968152866242038,0.041401273885350316,0.15286624203821655,0.0031847133757961785
88,Lindsay Whalen,MIN,G,175,78.0,25.46938776,US,"September 5, 1982",34,Minnesota,14,22,520,69,153,45.1,12,34,35.3,27,36,75.0,8,46,54,90,11,2,44,177,0,0,0.10384615384615385,0.17307692307692307,0.021153846153846155,0.3403846153846154,0.0038461538461538464
89,Lynetta Kizer,CON,C,193,104.0,27.92021262,US,"April 4, 1990",27,Maryland,5,20,238,48,100,48.0,0,1,0.0,23,30,76.7,22,35,57,6,11,7,10,119,0,0,0.23949579831932774,0.025210084033613446,0.046218487394957986,0.5,0.029411764705882353
90,Maimouna Diarra,LA,C,198,90.0,22.95684114,SN,"January 30, 1991",26,Sengal,R,9,16,1,3,33.3,0,0,0.0,1,2,50.0,3,4,7,1,1,0,3,3,0,0,0.4375,0.0625,0.0625,0.1875,0.0
91,Makayla Epps,CHI,G,178,,,US,"June 6, 1995",22,Kentucky,R,14,52,2,14,14.3,0,5,0.0,2,5,40.0,2,0,2,4,1,0,4,6,0,0,0.038461538461538464,0.07692307692307693,0.019230769230769232,0.11538461538461539,0.0
92,Marissa Coleman,IND,G/F,185,73.0,21.32943755,US,"April 1, 1987",30,Maryland,9,30,539,50,152,32.9,27,79,34.2,27,33,81.8,7,53,60,25,8,4,34,154,0,0,0.11131725417439703,0.04638218923933209,0.014842300556586271,0.2857142857142857,0.0074211502782931356
93,Matee Ajavon,ATL,G,173,73.0,24.39105884,US,"July 5, 1986",31,Syracruse,R,27,218,22,69,31.9,0,3,0.0,29,35,82.9,8,26,34,27,10,0,26,73,0,0,0.1559633027522936,0.12385321100917432,0.045871559633027525,0.3348623853211009,0.0
94,Maya Moore,MIN,F,183,80.0,23.88844098,US,"November 6, 1989",27,Connecticut,7,29,904,170,398,42.7,52,132,39.4,98,114,86.0,50,106,156,99,53,13,56,490,3,0,0.17256637168141592,0.10951327433628319,0.0586283185840708,0.5420353982300885,0.014380530973451327
95,Monique Currie,PHO,G/F,183,80.0,23.88844098,US,"February 25, 1983",34,Duke,11,32,717,121,284,42.6,37,93,39.8,85,103,82.5,19,103,122,67,22,11,48,364,0,0,0.1701534170153417,0.09344490934449093,0.030683403068340307,0.5076708507670851,0.015341701534170154
96,Morgan Tuck,CON,F,188,91.0,25.74694432,US,"April 30, 1994",23,Connecticut,1,17,294,35,101,34.7,8,28,28.6,13,16,81.3,9,34,43,19,7,0,15,91,1,0,0.14625850340136054,0.06462585034013606,0.023809523809523808,0.30952380952380953,0.0
97,Moriah Jefferson,SAN,G,168,55.0,19.48696145,US,"August 3, 1994",23,Connecticut,1,21,514,81,155,52.3,9,20,45.0,20,27,74.1,6,31,37,92,33,2,43,191,0,0,0.07198443579766536,0.17898832684824903,0.06420233463035019,0.3715953307392996,0.0038910505836575876
98,Natalie Achonwa,IND,C,193,83.0,22.28247738,CA,"November 22, 1992",24,Notre Dame,3,30,529,82,151,54.3,0,0,0.0,43,55,78.2,31,70,101,21,11,16,25,207,0,0,0.19092627599243855,0.03969754253308128,0.020793950850661626,0.391304347826087,0.030245746691871456
99,Natasha Cloud,WAS,G,183,73.0,21.79820239,US,"February 22, 1992",25,Saint Joseph's,3,24,448,37,118,31.4,12,51,23.5,20,27,74.1,7,52,59,69,17,3,23,106,0,0,0.13169642857142858,0.15401785714285715,0.03794642857142857,0.23660714285714285,0.006696428571428571
100,Natasha Howard,MIN,F,188,75.0,21.22000905,US,"February 9, 1991",26,Florida State,4,29,315,48,104,46.2,3,13,23.1,17,23,73.9,25,38,63,16,11,19,20,116,0,0,0.2,0.050793650793650794,0.03492063492063492,0.3682539682539683,0.06031746031746032
101,Nayo Raincock-Ekunwe,NY,F/C,188,79.0,22.35174287,CA,"August 29, 1991",25,Simon Fraser,R,27,243,33,63,52.4,0,4,0.0,30,49,61.2,24,22,46,8,2,1,13,96,0,0,0.18930041152263374,0.03292181069958848,0.00823045267489712,0.3950617283950617,0.00411522633744856
102,Nia Coffey,SAN,F,185,77.0,22.49817385,US,"May 21, 1995",22,Northwestern,R,25,203,16,59,27.1,0,4,0.0,16,22,72.7,16,30,46,6,5,6,14,48,0,0,0.22660098522167488,0.029556650246305417,0.024630541871921183,0.23645320197044334,0.029556650246305417
103,Nneka Ogwumike,LA,F,188,79.0,22.35174287,US,"February 7, 1990",27,Stanford,6,30,948,215,386,55.7,18,49,36.7,129,148,87.2,57,179,236,63,53,14,47,577,9,0,0.2489451476793249,0.06645569620253164,0.05590717299578059,0.6086497890295358,0.014767932489451477
104,Noelle Quinn,SEA,G,183,81.0,24.18704649,US,"March 1, 1985",32,UCLA,11,29,459,24,58,41.4,14,35,40.0,17,18,94.4,1,48,49,78,12,5,27,79,0,0,0.10675381263616558,0.16993464052287582,0.026143790849673203,0.1721132897603486,0.010893246187363835
105,Odyssey Sims,LA,G,173,73.0,24.39105884,US,"July 13, 1992",25,Baylor,4,27,626,86,198,43.4,11,49,22.4,47,55,85.5,10,34,44,87,38,5,39,230,1,0,0.07028753993610223,0.1389776357827476,0.06070287539936102,0.36741214057507987,0.007987220447284345
106,Plenette Pierson,MIN,F/C,188,88.0,24.89814396,US,"August 31, 1981",35,Texas Tech,15,29,402,54,142,38.0,17,51,33.3,15,20,75.0,13,49,62,48,12,4,33,140,0,0,0.15422885572139303,0.11940298507462686,0.029850746268656716,0.3482587064676617,0.009950248756218905
107,Rachel Banham,CON,G,175,76.0,24.81632653,US,"July 15, 1993",24,Minnesota,2,26,238,32,87,36.8,16,48,33.3,16,20,80.0,2,27,29,20,4,0,12,96,0,0,0.12184873949579832,0.08403361344537816,0.01680672268907563,0.40336134453781514,0.0
108,Ramu Tokashiki,SEA,F,193,80.0,21.47708663,JP,"November 6, 1991",25,Japan,1,29,378,42,92,45.7,0,3,0.0,22,27,81.5,19,29,48,16,8,8,25,106,0,0,0.12698412698412698,0.042328042328042326,0.021164021164021163,0.2804232804232804,0.021164021164021163
109,Rebecca Allen,NY,G/F,188,74.0,20.937075600000004,AU,"June 11, 1992",25,Australia,3,28,254,31,86,36.0,14,40,35.0,2,6,33.3,13,51,64,15,9,12,17,78,0,0,0.25196850393700787,0.05905511811023622,0.03543307086614173,0.30708661417322836,0.047244094488188976
110,Rebekkah Brunson,MIN,F,188,84.0,23.76641014,US,"November 12, 1981",35,Georgetown,14,26,719,97,218,44.5,22,60,36.7,62,83,74.7,46,135,181,40,31,9,42,278,2,0,0.2517385257301808,0.055632823365785816,0.043115438108484005,0.3866481223922114,0.012517385257301807
111,Renee Montgomery,MIN,G,170,63.0,21.79930796,US,"February 12, 1986",31,Connecticut,9,29,614,71,181,39.2,30,89,33.7,44,51,86.3,12,34,46,96,24,1,43,216,0,0,0.0749185667752443,0.1563517915309446,0.03908794788273615,0.3517915309446254,0.0016286644951140066
112,Riquna Williams,LA,G,170,75.0,25.95155709,US,"May 28, 1990",27,Miami (FL),5,23,408,45,140,32.1,20,74,27.0,38,44,86.4,6,26,32,16,19,3,26,148,0,0,0.0784313725490196,0.0392156862745098,0.04656862745098039,0.3627450980392157,0.007352941176470588
113,Sami Whitcomb,SEA,G,178,66.0,20.83070319,US,"July 20, 1988",29,Washington,R,29,354,46,120,38.3,33,94,35.1,14,17,82.4,12,40,52,24,22,0,24,139,0,0,0.14689265536723164,0.06779661016949153,0.062146892655367235,0.3926553672316384,0.0
114,Sancho Lyttle,ATL,F,193,79.0,21.20862305,ES,"September 20, 1983",33,Houston,13,25,703,71,163,43.6,1,7,14.3,13,19,68.4,42,138,180,41,40,17,34,156,0,0,0.25604551920341395,0.05832147937411095,0.05689900426742532,0.22190611664295876,0.02418207681365576
115,Sandrine Gruda,LA,F/C,193,84.0,22.55094096,FR,"June 25, 1987",30,France,5,4,12,1,3,33.3,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,2,0,0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
116,Saniya Chong,DAL,G,173,64.0,21.383942,US,"June 27, 1994",23,Connecticut,R,29,348,27,74,36.5,8,35,22.9,25,29,86.2,9,19,28,33,21,3,23,87,0,0,0.08045977011494253,0.09482758620689655,0.0603448275862069,0.25,0.008620689655172414
117,Seimone Augustus,MIN,G/F,183,77.0,22.99262444,US,"April 30, 1984",33,LSU,12,27,756,125,251,49.8,18,41,43.9,30,35,85.7,12,70,82,108,17,1,39,298,1,0,0.10846560846560846,0.14285714285714285,0.022486772486772486,0.3941798941798942,0.0013227513227513227
118,Sequoia Holmes,SAN,G,185,70.0,20.45288532,US,"June 13, 1986",31,UNLV,2,24,280,31,89,34.8,13,46,28.3,6,11,54.5,12,12,24,23,13,5,11,81,0,0,0.08571428571428572,0.08214285714285714,0.04642857142857143,0.2892857142857143,0.017857142857142856
119,Shatori Walker-Kimbrough,WAS,G,180,64.0,19.75308642,US,"May 18, 1995",22,Maryland,R,22,260,29,78,37.2,9,26,34.6,29,32,90.6,4,13,17,10,11,1,12,96,0,0,0.06538461538461539,0.038461538461538464,0.04230769230769231,0.36923076923076925,0.0038461538461538464
120,Shavonte Zellous,NY,G,178,85.0,26.82742078,US,"August 28, 1986",30,Pittsburgh,9,29,865,107,249,43.0,14,41,34.1,118,144,81.9,30,92,122,87,23,8,62,346,1,0,0.14104046242774568,0.10057803468208093,0.026589595375722544,0.4,0.009248554913294798
121,Shay Murphy,SAN,G,180,74.0,22.83950617,US,"April 15, 1985",32,Southern California,9,23,242,23,62,37.1,12,35,34.3,8,12,66.7,12,26,38,17,10,1,12,66,0,0,0.15702479338842976,0.07024793388429752,0.04132231404958678,0.2727272727272727,0.004132231404958678
122,Shekinna Stricklen,CON,G/F,188,81.0,22.91760978,US,"July 30, 1990",27,Tennessee,5,29,795,80,202,39.6,59,149,39.6,26,31,83.9,15,71,86,30,36,2,23,245,0,0,0.10817610062893082,0.03773584905660377,0.045283018867924525,0.3081761006289308,0.0025157232704402514
123,Shenise Johnson,IND,G,180,78.0,24.07407407,US,"September 12, 1990",26,Miami (FL),6,14,348,55,127,43.3,10,30,33.3,38,40,95.0,13,35,48,35,21,4,18,158,0,0,0.13793103448275862,0.10057471264367816,0.0603448275862069,0.4540229885057471,0.011494252873563218
124,Skylar Diggins-Smith,DAL,G,175,66.0,21.55102041,US,"February 8, 1990",27,Notre Dame,4,30,1018,167,394,42.4,43,119,36.1,168,186,90.3,21,86,107,173,38,24,83,545,1,0,0.10510805500982318,0.16994106090373282,0.03732809430255403,0.5353634577603144,0.023575638506876228
125,Stefanie Dolson,CHI,C,196,97.0,25.24989588,US,"August 1, 1992",25,Connecticut,3,28,823,162,293,55.3,24,60,40.0,50,58,86.2,35,121,156,65,14,37,65,398,3,0,0.18955042527339003,0.07897934386391252,0.01701093560145808,0.4835965978128797,0.04495747266099635
126,Stephanie Talbot,PHO,G,185,87.0,25.42001461,AU,"December 20, 1990",26,Australia,R,30,555,47,114,41.2,15,38,39.5,29,44,65.9,28,58,86,50,22,8,28,138,0,0,0.15495495495495495,0.09009009009009009,0.03963963963963964,0.24864864864864866,0.014414414414414415
127,Sue Bird,SEA,G,175,68.0,22.20408163,US,"October 16, 1980",36,Connecticut,15,27,806,103,244,42.2,50,134,37.3,17,24,70.8,7,46,53,177,31,3,57,273,1,0,0.06575682382133995,0.2196029776674938,0.038461538461538464,0.3387096774193548,0.0037220843672456576
128,Sugar Rodgers,NY,G,175,75.0,24.48979592,US,"August 12, 1989",28,Georgetown,6,28,745,108,310,34.8,59,163,36.2,42,52,80.8,21,85,106,68,28,17,43,317,0,0,0.14228187919463087,0.0912751677852349,0.03758389261744966,0.425503355704698,0.022818791946308724
129,Sydney Colson,SAN,G,173,64.0,21.383942,US,"June 8, 1989",28,Texas A&M,3,25,296,25,78,32.1,2,10,20.0,20,30,66.7,3,11,14,51,13,2,25,72,0,0,0.0472972972972973,0.17229729729729729,0.04391891891891892,0.24324324324324326,0.006756756756756757
130,Sydney Wiese,LA,G,183,68.0,20.30517483,US,"July 13, 1992",25,Oregon State,R,25,189,19,50,38.0,13,32,40.6,4,8,50.0,3,18,21,6,4,3,2,55,0,0,0.1111111111111111,0.031746031746031744,0.021164021164021163,0.291005291005291,0.015873015873015872
131,Sylvia Fowles,MIN,C,198,96.0,24.48729721,US,"June 10, 1985",32,LSU,10,29,895,222,336,66.1,0,0,0.0,128,162,79.0,113,184,297,39,39,61,71,572,16,0,0.3318435754189944,0.04357541899441341,0.04357541899441341,0.6391061452513966,0.06815642458100558
132,Tamera Young,ATL,G/F,188,77.0,21.78587596,US,"October 30, 1986",30,Tennessee,9,31,820,105,297,35.4,23,70,32.9,44,65,67.7,23,87,110,66,36,14,61,277,0,0,0.13414634146341464,0.08048780487804878,0.04390243902439024,0.3378048780487805,0.01707317073170732
133,Tayler Hill,WAS,G,175,66.0,21.55102041,US,"October 23, 1990",26,Ohio State,5,18,462,69,191,36.1,27,89,30.3,75,80,93.8,5,29,34,47,16,1,26,240,0,0,0.0735930735930736,0.10173160173160173,0.03463203463203463,0.5194805194805194,0.0021645021645021645
134,Temi Fagbenle,MIN,C,193,89.0,23.89325888,UK,"August 9, 1992",25,Southern California,R,17,74,6,14,42.9,0,0,0.0,5,6,83.3,3,13,16,1,3,3,8,17,0,0,0.21621621621621623,0.013513513513513514,0.04054054054054054,0.22972972972972974,0.04054054054054054
135,Theresa Plaisance,DAL,F,196,91.0,23.68804665,US,"May 18, 1992",25,LSU,4,30,604,80,213,37.6,35,101,34.7,22,24,91.7,38,89,127,24,23,22,24,217,1,0,0.21026490066225165,0.039735099337748346,0.0380794701986755,0.35927152317880795,0.03642384105960265
136,Tianna Hawkins,WAS,F,191,87.0,23.84803048,US,"February 3, 1991",26,Maryland,4,29,483,79,165,47.9,11,41,26.8,41,43,95.3,42,82,124,9,15,7,23,210,0,0,0.2567287784679089,0.018633540372670808,0.031055900621118012,0.43478260869565216,0.014492753623188406
137,Tierra Ruffin-Pratt,WAS,G,178,83.0,26.19618735,US,"November 4, 1991",25,North Carolina,5,29,703,77,217,35.5,0,4,0.0,71,96,74.0,45,120,165,68,30,16,47,225,2,0,0.23470839260312945,0.09672830725462304,0.04267425320056899,0.3200568990042674,0.02275960170697013
138,Tiffany Hayes,ATL,G,178,70.0,22.09317005,US,"September 20, 1989",27,Connecticut,6,29,861,144,331,43.5,43,112,38.4,136,161,84.5,28,89,117,69,37,8,50,467,0,0,0.13588850174216027,0.08013937282229965,0.0429732868757259,0.5423925667828107,0.009291521486643438
139,Tiffany Jackson,LA,F,191,84.0,23.0256846,US,"April 26, 1985",32,Texas,9,22,127,12,25,48.0,0,1,0.0,4,6,66.7,5,18,23,3,1,3,8,28,0,0,0.18110236220472442,0.023622047244094488,0.007874015748031496,0.2204724409448819,0.023622047244094488
140,Tiffany Mitchell,IND,G,175,69.0,22.53061224,US,"September 23, 1984",32,South Carolina,2,27,671,83,238,34.9,17,69,24.6,94,102,92.2,16,70,86,39,31,5,40,277,0,0,0.12816691505216096,0.05812220566318927,0.046199701937406856,0.4128166915052161,0.007451564828614009
141,Tina Charles,NY,F/C,193,84.0,22.55094096,US,"May 12, 1988",29,Connecticut,8,29,952,227,509,44.6,18,56,32.1,110,135,81.5,56,212,268,75,21,22,71,582,11,0,0.2815126050420168,0.07878151260504201,0.022058823529411766,0.6113445378151261,0.023109243697478993
142,Yvonne Turner,PHO,G,175,59.0,19.26530612,US,"October 13, 1987",29,Nebraska,2,30,356,59,140,42.1,11,47,23.4,22,28,78.6,11,13,24,30,18,1,32,151,0,0,0.06741573033707865,0.08426966292134831,0.05056179775280899,0.4241573033707865,0.0028089887640449437
